City/ Location,State,What was the event?,Who made the decision? (Name & title),Category,Date of event,Link to sources or more information ,Additional link,Additional link,"Your name & email or twitter handle to contact (optional, will be viewable by the public)",
statewide,GA,Increase SNAP benefits,Gov. Brian Kemp,Not sure,3/23/2020,https://gov.georgia.gov/press-releases/2020-03-23/gov-kemp-issues-new-executive-orders-provides-covid-19-update,https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders,,,
statewide,GA,"require certain individuals with an increased risk of complications from COVID-19 to isolate, quarantine, or shelter in place",Gov. Brian Kemp,Quarantines and forced closures,3/23/2020,https://gov.georgia.gov/press-releases/2020-03-23/gov-kemp-issues-new-executive-orders-provides-covid-19-update,https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders,,,
statewide,GA,"close all bars and nightclubs, and ban all gatherings of ten or more people unless you can maintain at least six feet between people at all times",Gov. Brian Kemp,Quarantines and forced closures,3/23/2020,https://gov.georgia.gov/press-releases/2020-03-23/gov-kemp-issues-new-executive-orders-provides-covid-19-update,https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders,,,
statewide,GA,Loosen restrictions on medical license requirements,Gov. Brian Kemp,Not sure,3/23/2020,https://gov.georgia.gov/press-releases/2020-03-23/gov-kemp-issues-new-executive-orders-provides-covid-19-update,https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders,,,
statewide,GA,Call up The GA National Guard,Gov. Brian Kemp,Not sure,3/14/2020,https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders,,,,
statewide,GA,Nursing home and long term care facilities requirements to test and care for residents,Gov. Brian Kemp,Not sure,4/8/2020,https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders,,,,
statewide,GA,Close public schools,Gov. Brian Kemp,Quarantines and forced closures,3/16/2020,https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders,,,,
statewide,GA,Modify rules for unemployment insurance claims,Gov. Brian Kemp,Not sure,3/26/2020,https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders,,,,
statewide,GA,create governor's coronavirus task force,Gov. Brian Kemp,Not sure,2/28/2020,https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders,,,,
statewide,GA,Primary election postponed,Secretary of State Brad Raffensperger,Elections,4/9/2020,https://fultoncountyga.gov/news/2020/04/09/raffensperger-announces-postponement-of-primary-election-until-june-9,,,,
statewide,GA,Statewide judicial emergency,"Honorable Harold D. Melton, Chief Justice",Courts,3/14/2020,https://www.gasupreme.us/wp-content/uploads/2020/03/CJ-Melton-amended-Statewide-Jud-Emergency-order.pdf,,,,
statewide,AK,decision not to issue a statewide stay-at-home order,Governor Asa Hutchinson,Quarantines and forced closures,4/12/2020,https://www.cnn.com/2020/04/12/politics/arkansas-governor-no-stay-at-home-order-coronavirus-cnntv/index.html,,,,
Statewide,SC,"Govenor reopens public boat landings, ramps w/restrictions",Govenor McMaster,Quarantines and forced closures,4/16/2020,https://www.wyff4.com/article/south-carolina-public-boat-landings-ramps-to-reopen-with-restrictions-mcmaster/32176894,,,dwein8@gmail.com,
Statewide,SD,South Dakota declares state of emergency,Governor Kristi Noem,Quarantines and forced closures,3/13/2020,https://www.fmcsa.dot.gov/emergency/south-dakota-general-executive-orders-2020-004,,,,
Statewide,NE,"1st Directed Health Measure - Applied only to Cass, Douglas and Sarpy counties and effictive until at least April 30th","Gary Anthone, MD - Director of Public Health",Quarantines and forced closures,3/8/2020,https://www.ketv.com/article/coronavirus-covid19-nebraska-omaha-latest/31213658#,,,,
Statewide,NE,"2nd Directed Health Measure - Applied only to Dodge, Lancaster, Saunders, and Washington countis and is effective unitl at least May 6","Gary Anthone, MD - Director of Public Health",Quarantines and forced closures,3/25/2020,https://www.ketv.com/article/coronavirus-covid19-nebraska-omaha-latest/31213658#,,,,
Statewide,NE,"3rd Directed Health Measure - Applied only to Butler, Hall, Hamilton, Merrick, Pol, Seward, and York counties and effective until May 6","Gary Anthone, MD - Director of Public Health",Quarantines and forced closures,3/28/2020,https://www.ketv.com/article/coronavirus-covid19-nebraska-omaha-latest/31213658#,,,,
Statewide,NE,"4th Directed Health Measure - Applied only to Burt, Cuming, Madison, and Stanton counties until May 6th","Gary Anthone, MD - Director of Public Health",Quarantines and forced closures,3/29/2020,https://www.ketv.com/article/coronavirus-covid19-nebraska-omaha-latest/31213658#,,,,
Statewide,NE,"5th Directed Health Measure -Applied only to Banner, Box Butte, Cheyenne, Dawes, Deuel, Garden, Grant, Kimball, Morrill, Scotts Bluff, Sheridan, and Sioux counties until May 11th","Gary Anthone, MD - Director of Public Health",Quarantines and forced closures,3/30/2020,https://www.ketv.com/article/coronavirus-covid19-nebraska-omaha-latest/31213658#,,,,
Statewide,NE,"6th Directed Health Measure - Applied only to Adams, Clay, Nuckolls, and Webster counties until May 11th","Gary Anthone, MD - Director of Public Health",Quarantines and forced closures,3/31/2020,https://www.ketv.com/article/coronavirus-covid19-nebraska-omaha-latest/31213658#,,,,
Statewide,NE,"7th Directed Health Measure - Applied only to Buffalo, Dawson, Franklin, Gosper, Harlan, Kearney, and Phelps counties until May 11","Gary Anthone, MD - Director of Public Health",Quarantines and forced closures,3/31/2020,https://www.ketv.com/article/coronavirus-covid19-nebraska-omaha-latest/31213658#,,,,
Statewide,NE,"8th Directed Health Measure - Applies to Antelope, Arthur, Boyd, Brown, Cherry, Holt, Hooker, Keya Paha, Knox, Lincoln, Logan, McPherson, Pierce, Rock, and Thomas counties until May 11","Gary Anthone, MD - Director of Public Health",Quarantines and forced closures,4/1/2020,https://www.ketv.com/article/coronavirus-covid19-nebraska-omaha-latest/31213658#,,,,
Statewide,NE,9th Directed Health Measure - Applies to all remaining counties until May 11,"Gary Anthone, MD - Director of Public Health",Quarantines and forced closures,4/3/2020,https://www.ketv.com/article/coronavirus-covid19-nebraska-omaha-latest/31213658#,,,,
Statewide,NE,10th Directed Health Measure - Closure of New Businesses,"Gary Anthone, MD - Director of Public Health",Quarantines and forced closures,4/9/2020,https://www.ketv.com/article/coronavirus-covid19-nebraska-omaha-latest/31213658#,,,,
Statewide,AL,Governor declared a state public health emergency exists in Alabama,Governor Kay Ivey,Not sure,3/13/2020,https://www.birminghamal.gov/wp-content/uploads/2020/04/2020.4.3.COVID_.ADPH_.Stay-at-Home-Order.FAQ_.pdf,https://wbhm.org/feature/2020/alabama-health-department-expands-covid-19-restrictions-counties/,,JAR,
Statewide,IA,Iowa Governor Kim Reynolds announced today that Iowa schools will be closed for the remainder of the year due to the COVID-19 pandemic.,Iowa Governor Kim Reynolds,Schools,4/17/2020,https://www.southeastpolk.org/coronavirus/closures/,,,,
Statewide,HI,School facilities closed to students through April 30 with the exception of grab-and-go meal sites,Hawaii State Department of Education,Schools,3/24/2020,http://www.hawaiipublicschools.org/ConnectWithUs/MediaRoom/PressReleases/Pages/School-facilities-closed-to-students-through-April-30.aspx,,,,
Statewide,HI,Statewide stay-at-home order from March 25th to,Governor David Ige,Quarantines and forced closures,3/25/2020,https://hawaiicovid19.com/statewide-stay-at-home-order-effective-march-25-2020-through-april-30-2020/,,,,
Statewide,DE,Delaware Governor amended the state emergency order to further limit public gatherings and order businesses to take specific steps for social distancing at the workplace,Governor John Carney,Not sure,4/1/2020,https://whyy.org/articles/coronavirus-update-delaware-issues-more-stringent-covid-19-restrictions/,,,,
Statewide,WI,Governor Signs legislation that lifts 1 week waiting period for unemployment insurance & requires insurers to cover COVID treatment.  Legislation clears way for WI to quality for additional Fed. Medicaid through US Cares Act,Governor Tony Evers & Legislative ,Quarantines and forced closures,4/15/2020,https://www.wpr.org/evers-signs-wisconsin-covid-19-bill,,,Brenda Kelley bjkelleylady@gmail.com,
Statewide,SC,Gov. expects businesses to be up and running in May/back to normal end of June,Gov. McMaster,Quarantines and forced closures,4/17/2020,https://www.wyff4.com/article/live-at-430-pm-south-carolina-gov-henry-mcmaster-gives-coronavirus-update-columbia/32174251,,,,
Statewide,VA,Virginia schools to close through academic year; resturaunts must end dine-in service,Gov. Ralph Northam,Quarantines and forced closures,3/23/2020,https://www.nbcwashington.com/news/local/virginia-officials-give-coronavirus-update-as-parents-await-update-on-school-closures/2251037/,,,,
Statewide,WI,Governor Tony Evers extends Safer At Home Order Set to expire April 24.  It will now end May 26.  Ordered all pubic & private schools to remain closed for this school year.  Many other provisions.,GOVERNOR TONY EVERS,Quarantines and forced closures,4/16/2020,https://www.wpr.org/gov-tony-evers-extends-safer-home-order,,,Brenda Kelley bjkelleylady@gmail.com,
Statewide,VA,"All campgrounds, cabins and bathhouses close at Virginia State Parks until at least April 30th. Will remain open for day use such as hiking, biking and wildlife viewing.",Gov. Ralph Northam,Quarantines and forced closures,3/27/2020,https://www.wtvr.com/news/coronavirus/campgrounds-cabins-to-close-at-virginia-state-parks-amid-covid-19-outbreak,,,,
Statewide,AL,"close all schools for remainder of school year, on-line instruction to begin 4/6/2020",Gov. Kay Ivey and State Superintendent Eric Mackey,Schools,3/27/2020,http://www.mps.k12.al.us/departments/communication/c_o_v_i_d-19_updates,,,,
Statewide,NE,Nebraska's legislative session was suspended for the week of March 16 but reconvened breiefly during the week of March 23. The Unicameral passed and Gov. Pete Ricketts (R) signed a measure providing $83.6 million in emergency COVID19 funding.,The Unicameral and Gov. Pete Ricketts,State legislatures,3/23/2020,https://taxfoundation.org/state-tax-coronavirus-covid19/#Nebraska,,,,
Statewide,WI,"Governor announces WI joining bi-partison coaltion of Midwestern Governors:  Michigan, Ohio, Minnesota, Illinois, Kentucky and Wisconsin. ",Governor Tony Evers,Quarantines and forced closures,4/16/2020,https://www.wpr.org/gov-tony-evers-extends-safer-home-order,,,Brenda Kelley bjkelleylady@gmail.com,
Statewide,SD,SBA Approves Economic Injury Disaster Loan Fund Program Access for South Dakota; Small businesses can learn more about the program and apply for financial assistance at www.sba.gov/disaster or call the SBA at 1-800-659-2955.,Governor Kristi Noem,Elected/public officials,3/20/2020,https://news.sd.gov/newsitem.aspx?id=26544,,,,
Statewide,NE,Gov. Ricketts issues executive order waiving late penalties for excise tax payors,Gov. Ricketts,Not sure,3/19/2020,https://taxfoundation.org/state-tax-coronavirus-covid19/#Nebraska,,,,
Statewide,NE,,Gov. Ricketts,Not sure,3/23/2020,https://taxfoundation.org/state-tax-coronavirus-covid19/#Nebraska,,,,
statewide,MT,providing mandatory quarantine for certain travelers arriving in Montana from another state or country,,Quarantines and forced closures,3/30/2020,https://www.missoulacounty.us/home/showdocument?id=71447,,,LTV,
Statewide,SD,"Labor Department Accepting Unemployment Claims from Self-employed, Independent Contractors, Gig Workers",State Labor and Regulation Secretary Marcia Hultman,Not sure,4/17/2020,https://news.sd.gov/newsitem.aspx?id=26665,,,,
Statewide,SD,"Absentee voting begins April 17 for the June 2 election, and Her Vote. Her Voice. is providing support and resources to encourage South Dakota citizens to exercise their hard-fought-for voting rights",Her Vote. Her Voice,Elections,4/17/2020,https://news.sd.gov/newsitem.aspx?id=26664,,,,
Statewide,SD,Secretary of State Steve Barnett encourages absentee vote by mail,"SD, Secretary of State Steve Barnett",Elections,4/17/2020,https://news.sd.gov/newsitem.aspx?id=26664,,,,
Statewide,SD,"South Dakota Announced it is following (OCR) guidelines which state effective immediately, that it will exercise its enforcement discretion and will waive potential penalties for HIPAA violations against health care providers that serve patients through everyday communications technologies during the COVID-19 nationwide public health emergency.",Office for Civil Rights (OCR) at the U.S Department of Health and Human Services (HHS),Not sure,3/17/2020,https://www.hhs.gov/about/news/2020/03/17/ocr-announces-notification-of-enforcement-discretion-for-telehealth-remote-communications-during-the-covid-19.html,https://www.hhs.gov/hipaa/for-professionals/special-topics/emergency-preparedness/notification-enforcement-discretion-telehealth/index.html,,,
Statewide,SD,Executive Order 2020-07 which recognizes the licenses of medical professionals licensed in another state in accordance with the Emergency Management Assistance Compact. The following professions licensed in other states have the authority to practice in SD based on an active license in another state,Governor Kristi Noem,Elected/public officials,3/23/2020,https://doh.sd.gov/news/coronavirus.aspx#Groups,,,,
Statewide,HI,"Campuses closed to the public - except students and employees - UH Mānoa, UH Hilo, UH West Oʻahu, UH Maui College, Leeward Community College, Kapiʻolani CC, Honolulu CC, Windward CC, Kauaʻi CC and Hawaiʻi CC.",UH President Lassner,Schools,3/20/2020,https://www.hawaii.edu/news/2020/03/20/uh-campuses-closed/,https://manoa.hawaii.edu/emergency/coronavirus-update/messages/,,,
